input;output
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 2,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""and"": [
          {
            ""substrings"": {
              ""type"": ""cn"",
              ""substrings"": [
                {
                  ""any"": ""fred""
                }
              ]
            }
          },
          {
            ""equalityMatch"": {
              ""attributeDesc"": ""dn"",
              ""assertionValue"": ""joe""
            }
          }
        ]
      },
      ""attributes"": []
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 32,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 2,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""extensibleMatch"": {
          ""matchingRule"": ""2.16.840.1.113730.3.3.2.46.1"",
          ""type"": ""departmentNumber"",
          ""matchValue"": "">=N4709"",
          ""dnAttributes"": false
        }
      },
      ""attributes"": [
        ""cn"",
        ""sn"",
        ""telephoneNumber""
      ]
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 32,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectclass""
      },
      ""attributes"": [
        ""defaultNamingContext"",
        ""namingContexts""
      ]
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""namingContexts"",
          ""vals"": [
            ""dc=domain,dc=example,dc=org""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 1,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""root"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 3,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""admin"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 3,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 4,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""administrator"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 4,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 5,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""webadmin"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 5,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
